id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
nraQXrlJZ-w,#노란봉투법 #방송3법 끝까지 힘을 쏟겠습니다,2023-11-09T07:39:36Z,"#박주민 #더불어민주당 

대한민국 역사에서 굉장히 중요한 순간으로 기록될 것이라고 생각됩니다. 20년간 기다려왔던 노란봉투법이 드디어 처리가 되는 것이고, 공영방송의 독립을 보장하기 위한 법적 장치가 드디어 마련되는 순간이 될 것입니다.",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,8198,1079,0,42,https://www.youtube.com/watch?v=nraQXrlJZ-w
nrh_yLCO4BE,최고위원회의 중 갑자기 사라진 그 사람... (반전주의),2021-08-09T09:56:38Z,"#메타버스 #최고위원회의 #반전주의
금일 오전 9시 30분에 진행되었던 메타버스 최고위원회의 중에
사라진 그 사람... 과연 결말은?...",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1277,53,0,13,https://www.youtube.com/watch?v=nrh_yLCO4BE
NRmsUh5Lc8k,[다시보는국감] WTO 사무총장 선거! 일본의 어른스럽지 못한 견제,2020-10-26T05:28:26Z,"#더불어민주당 #이낙연당대표 #일본 
다시보는국감! 2020년 10월 12일 외교통일위원회 국정감사 이낙연 당대표 발언 중",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1043,133,0,18,https://www.youtube.com/watch?v=NRmsUh5Lc8k
NryFegQeS5M,모든 국민들이 금융 혜택을 함께 누려야 합니다 #기본금융 #기본사회,2023-04-04T08:04:02Z,"고액을 하자는 것이 아니라 일정액까지, 우리 사회가 합의 가능한 수준까지 모든 국민들이 금융 혜택을 함께 누릴 수 있고 금융에 접근할 수 있게 해주는 것이 가장 핵심적인 정책 과제라는 생각이 듭니다. 그것이 바로 기본금융이라고 생각합니다.

2023년 4월 4일 이재명 당대표  ‘청년 첫 출발, 소상공인 새출발과 기본금융 토론회’ 발언중",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1013,351,0,33,https://www.youtube.com/watch?v=NryFegQeS5M
nS0_rm8qxMQ,최고위원회의 생중계 - 1월 4일,2023-01-04T01:19:34Z,"#최고위원회의 #더불어민주당
2023년 1월 4일 수요일 오전 9시 30분",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2931,706,0,32,https://www.youtube.com/watch?v=nS0_rm8qxMQ
nS4nivyeEmY,"""이게 사실이라면 검찰 문을 닫아야 하는 것 아닌가"" #윤석열 #청부고발의혹 #검찰쿠테타",2021-09-06T01:32:26Z,"#청부고발 #정치공작 #윤석열게이트 

2021. 9. 6
송영길당대표 최고위원회의 발언 中",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1069,127,0,19,https://www.youtube.com/watch?v=nS4nivyeEmY
nSh8jLNEHCY,최고위원회의 생중계 - 1월 15일,2024-01-15T01:14:22Z,"#최고위원회의 #더불어민주당 
2024년 1월 15일 월요일 9시 30분 생중계",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,18992,3831,0,121,https://www.youtube.com/watch?v=nSh8jLNEHCY
NsheaTB8LCo,이해찬 회고록 출판기념회 생중계,2022-10-17T05:49:56Z,"#이해찬 #이재명 #출판기념회 
2022년 10월 17일 월요일 오후 2시 생중계",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4631,1236,0,21,https://www.youtube.com/watch?v=NsheaTB8LCo
nsi87SXwLe4,[씀] 민주당 인재영입 10호! 사법개혁의 신호탄 이탄희 판사!,2020-01-19T08:43:55Z,"#인재영입 #사법개혁 #이탄희

[씀] 민주당 인재영입 10호! 사법개혁의 신호탄 이탄희 판사!",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,7952,1834,0,142,https://www.youtube.com/watch?v=nsi87SXwLe4
Nsjdfj9YJEg,"[씀터뷰 : 본편 예고] 이해찬 대표를 만난 강성범, 그가 건넨 서약서의 진실은?",2019-01-10T08:54:41Z,"[씀터뷰 : 본편 예고] 


이해찬 대표를 만난 강성범, 그가 건낸 서약서의 진실은? 

씀터뷰 전편은 1월 14일 월요일에 공개됩니다!





#이해찬 #강성범 #씀터뷰",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,7128,1002,0,86,https://www.youtube.com/watch?v=Nsjdfj9YJEg
