videoId,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount
gFbXkXPycRU,21대 국회? 아직 안 끝났습니다 #전세사기특별법 #이태원참사특별법 #채상병특검,2024-04-19T05:39:32Z,4458,596,0,16
reGfgxpl3AM,대통령 장모 최은순은 계속 구치소에 있습니까?,2024-04-19T05:32:09Z,4225,714,0,31
2fsOU4qnX-o,'민생회복 긴급조치' 더 늦어져선 안됩니다ㅣ최고위원회의,2024-04-19T00:05:42Z,6696,1616,0,53
Bs6tNu-P-oc,더불어민주당 정책조정회의 생중계 - 4월 18일,2024-04-18T00:59:26Z,5987,1218,0,50
C-VA6SrNlFQ,"윤석열 대통령, 아직도 정신 못 차렸습니다",2024-04-17T08:32:17Z,7865,542,0,34
jTxLUwAvKJ0,민생회복 지원을 누가 포퓰리즘이라고 합니까?,2024-04-17T07:27:11Z,5283,820,0,52
ybkCqVOGhms,긴급 경제상황 점검회의 생중계,2024-04-17T05:40:31Z,10366,2346,0,60
zBqIJ7PW-I0,"준엄한 총선 민심 무시한 윤석열 대통령, 국민을 이기는 권력은 없습니다ㅣ최고위원회의",2024-04-17T01:09:52Z,4553,950,0,39
4P_FV7uxiuY,더불어민주당 원내대책회의 생중계 - 4월 16일,2024-04-16T01:12:15Z,7784,1457,0,49
M8ayDZT795g,더불어민주당 최고위원회의 생중계 - 4월 15일,2024-04-15T01:21:18Z,8062,1395,0,71
cNwNt73--JU,더불어민주당･더불어민주연합 현충원 참배,2024-04-12T00:51:04Z,27024,3854,0,135
acwZYFzG5rY,더불어민주당·더불어민주연합 제12차 합동 중앙선거대책위원회의 겸 선대위 해단식,2024-04-11T01:20:18Z,12591,1911,0,113
Y1e1WiB9GNo,제22대 국회의원 선거 출구조사 발표 및 개표방송 시청 생중계 - 더불어민주당,2024-04-10T09:34:59Z,135805,8707,0,323
ItGrQOuy5IM,D-1 정권심판·국민승리 총력유세 생중계 - 더불어민주당,2024-04-09T11:33:07Z,32496,5079,0,59
Sr3UqlQ6P_Q,이재명 상임공동선대위원장 기자회견 생중계,2024-04-09T01:31:32Z,44648,6481,0,405
5PGALEchu4U,"D-1!!! 심판의날,  민주당과 함께해주십시오! - 공동상임선대위원장 김부겸",2024-04-09T01:25:48Z,2506,253,0,57
WiH-RjO-k0s,인천 연수구갑 박찬대 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T11:00:58Z,27461,4074,0,60
ohFTrLfpdeg,인천 동미추홀을 남영희 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T10:20:22Z,23331,3577,0,66
-4wGWaBGyMM,서울 양천갑 황희 후보 지지유세  생중계 - 이재명 상임공동선대위원장,2024-04-08T08:40:25Z,14916,2438,0,35
8YNREdewGf0,서울 서대문갑 김동아 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T07:51:35Z,16644,3066,0,40
Cek0Vf77fbQ,서울 중구성동을 박성준 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T06:46:47Z,12994,2392,0,29
c6viG0DpMro,서울 종로 곽상언 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T06:02:48Z,47496,5600,0,227
g25B2IleLzE,서울 동대문갑 안규백 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T05:32:47Z,12479,2409,0,39
QNXkAy2iuzE,서울 영등포을 김민석 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T03:59:54Z,40282,5456,0,143
LFwiF4G3m4U,숭실대학교 도보인사 생중계 - 이재명 상임공동선대위원장,2024-04-08T03:17:07Z,11312,1351,0,38
aqH10NJbJlc,서울 동작을 류삼영 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-08T02:44:40Z,40405,5138,0,197
-6KZi-v9SsA,제11차 중앙선거대책위원회의 생중계,2024-04-08T01:17:49Z,5215,1280,0,22
y90P7f1Mvf8,서울 강동구을 이해식 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-07T10:26:01Z,19730,3288,0,26
zLYPwukp0Pk,서울 강동구갑 진선미 후보 지지유세 - 이재명 상임공동선대위원장,2024-04-07T09:36:10Z,35298,4101,0,50
oDmljk5UAIk,경기 하남시갑 추미애 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-07T08:44:47Z,53858,6584,0,129
KcLlCXxTUnA,서울 송파구병 남인순 후보 지지유세 - 이재명 상임공동선대위원장,2024-04-07T08:00:34Z,23907,3280,0,37
dvpk_BT2D0A,서울 송파구을 송기호 후보 지지유세 - 이재명 상임공동선대위원장,2024-04-07T07:31:48Z,16033,2581,0,36
5IqCb3cX5xA,서울 송파구갑 조재희 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-07T07:05:09Z,9151,1454,0,7
Di6R30lEt_4,서울 강남구을 강청희 후보 생중계 - 이재명 상임공동선대위원장,2024-04-07T06:15:11Z,29427,4386,0,57
JzO7MWTFIlU,서울 서초구을 홍익표 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-07T05:24:49Z,24492,3833,0,162
IjyvbY1rk2g,경기 김포시을 박상혁 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-06T12:05:05Z,24835,4079,0,40
aFec4ymERrQ,경기 동두천시양주시연천군을 남병근 후보 생중계 - 이재명 상임공동선대위원장,2024-04-06T09:47:07Z,19155,3046,0,66
dxxqxIdRJGA,경기 포천시가평군 박윤국 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-06T08:24:23Z,10428,1790,0,17
B1Mn6IcTJ6o,경기 여주시양평군 최재관 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-06T07:06:27Z,26124,3669,0,79
N2_p364q0jM,경기 이천시 엄태준 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-06T05:47:21Z,12444,1663,0,17
_Jud7LdqMSw,경기 용인병 부승찬 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-06T03:41:57Z,23504,3484,0,90
bxqfh6QBODs,서울 중구성동을 박성준 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-06T02:24:19Z,9684,1924,0,37
D-ldiABO-pA,충남 천안시갑 문진석 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-05T10:43:31Z,7377,1685,0,19
gCXRX2I5vk4,충남 보령시서천군 나소열 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-05T08:17:25Z,21594,3116,0,53
u5milY_JsmA,충남 공주시부여군청양군 박수현 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-05T06:41:13Z,106969,8838,0,425
yMEOtdX3OLk,충북 청주 서원구 이광희 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-05T04:51:31Z,12018,2031,0,35
27n1Vttt9fY,충북 보은군옥천군영동군괴산군 이재한 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-05T02:30:56Z,25869,3884,0,96
0cD-1Xjak3s,'국민과 더불어' 국민참여선대위원회 회의 - 4월 5일,2024-04-05T02:23:32Z,3911,435,0,49
Umf61QDnd5I,울산 동구 김태선 후보 지지유세 - 이재명 상임공동선대위원장,2024-04-05T01:45:38Z,1740,193,0,18
qVnHbT_RZhg,대전 중구 박용갑 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-05T01:44:45Z,17591,2982,0,41
i2EZRFGos7U,22대 국회의원선거 사전투표 현장 생중계 - 이재명 상임공동선대위원장,2024-04-05T00:57:15Z,10872,2014,0,18
