videoId,긍정,부정,중립,댓글수,긍정비율,중립비율,부정비율
0bCnWWqEpSY,13,28,5,46,0.2826086956521739,0.2826086956521739,0.6086956521739131
0bqtpFsaI9Y,10,20,2,32,0.3125,0.3125,0.625
0fBRkuseD0k,10,4,1,15,0.6666666666666666,0.6666666666666666,0.26666666666666666
0fwihfHNCBI,6,4,2,12,0.5,0.5,0.3333333333333333
0gMEUV9Mgho,30,132,16,178,0.16853932584269662,0.16853932584269662,0.7415730337078652
0hXoBKOsMOM,13,17,2,32,0.40625,0.40625,0.53125
0i1e9LMaxXM,16,8,2,26,0.6153846153846154,0.6153846153846154,0.3076923076923077
0juTFR6Mv6o,7,6,1,14,0.5,0.5,0.42857142857142855
0kDNGSRoi_I,6,4,1,11,0.5454545454545454,0.5454545454545454,0.36363636363636365
0lGnTFNsbPQ,16,36,2,54,0.2962962962962963,0.2962962962962963,0.6666666666666666
0m5Nswj4aHo,6,26,2,34,0.17647058823529413,0.17647058823529413,0.7647058823529411
0myRyDMg1LI,6,8,0,14,0.42857142857142855,0.42857142857142855,0.5714285714285714
0nOS0ayFKzk,4,1,0,5,0.8,0.8,0.2
0veVL_QG9ls,34,17,4,55,0.6181818181818182,0.6181818181818182,0.3090909090909091
0x7cww88sT0,3,5,3,11,0.2727272727272727,0.2727272727272727,0.45454545454545453
0z1xPJVm3l8,18,28,4,50,0.36,0.36,0.56
0zuVvfmD654,7,16,4,27,0.25925925925925924,0.25925925925925924,0.5925925925925926
1-5wJUiP9AU,5,4,0,9,0.5555555555555556,0.5555555555555556,0.4444444444444444
12e9nHLTyLA,4,8,0,12,0.3333333333333333,0.3333333333333333,0.6666666666666666
12gLfd0ekFA,49,23,1,73,0.6712328767123288,0.6712328767123288,0.3150684931506849
13S8C6YG6ro,7,12,1,20,0.35,0.35,0.6
14aWsmgPe04,4,4,1,9,0.4444444444444444,0.4444444444444444,0.4444444444444444
14shOnmnKVI,5,34,5,44,0.11363636363636363,0.11363636363636363,0.7727272727272727
16HVTSJNbn8,11,25,2,38,0.2894736842105263,0.2894736842105263,0.6578947368421053
16eH3JKzqlA,15,53,4,72,0.20833333333333334,0.20833333333333334,0.7361111111111112
16hjezdqXI0,24,75,6,105,0.22857142857142856,0.22857142857142856,0.7142857142857143
16nWdpNAJZg,16,104,11,131,0.12213740458015267,0.12213740458015267,0.7938931297709924
19bFcjn7qis,2,5,1,8,0.25,0.25,0.625
1AaFpFrpaVY,63,38,8,109,0.5779816513761468,0.5779816513761468,0.3486238532110092
1DiNSl9pOKA,66,67,9,142,0.4647887323943662,0.4647887323943662,0.47183098591549294
1FDQurUiD9A,8,26,3,37,0.21621621621621623,0.21621621621621623,0.7027027027027027
1GI7HUdoQ90,3,5,0,8,0.375,0.375,0.625
1GiqOFHRnUQ,0,7,0,7,0,0,1
1He5ZWO083A,2,5,4,11,0.18181818181818182,0.18181818181818182,0.45454545454545453
1JKPl0ad6W4,12,47,6,65,0.18461538461538463,0.18461538461538463,0.7230769230769231
1JOPuxBOEgY,131,205,29,365,0.3589041095890411,0.3589041095890411,0.5616438356164384
1K17dljqv_Y,6,49,2,57,0.10526315789473684,0.10526315789473684,0.8596491228070176
1LMya1J_HvI,2,2,0,4,0.5,0.5,0.5
1LS4xUNDF8E,5,8,1,14,0.35714285714285715,0.35714285714285715,0.5714285714285714
1LgEfjemSqg,9,13,1,23,0.391304347826087,0.391304347826087,0.5652173913043478
1LwWeiVbA8w,4,7,4,15,0.26666666666666666,0.26666666666666666,0.4666666666666667
1M9wBkuZ16U,11,10,1,22,0.5,0.5,0.45454545454545453
1N6yqHk4lm0,3,3,0,6,0.5,0.5,0.5
1OJDPESdVZg,5,16,1,22,0.22727272727272727,0.22727272727272727,0.7272727272727273
1QcDGrToT8k,19,27,4,50,0.38,0.38,0.54
1R-48jwZ9oQ,84,44,8,136,0.6176470588235294,0.6176470588235294,0.3235294117647059
1SkQek5xieQ,11,33,3,47,0.23404255319148937,0.23404255319148937,0.7021276595744681
1UFBw4T1fNo,5,4,0,9,0.5555555555555556,0.5555555555555556,0.4444444444444444
1VPVxpOxUM0,6,2,2,10,0.6,0.6,0.2
1VY2gOkVEe4,7,15,2,24,0.2916666666666667,0.2916666666666667,0.625
1ZLljmM9GOQ,15,31,4,50,0.3,0.3,0.62
1ZyeFwwpcug,16,34,5,55,0.2909090909090909,0.2909090909090909,0.6181818181818182
1_MeQBaXTTU,15,17,1,33,0.45454545454545453,0.45454545454545453,0.5151515151515151
1acE-jUthmQ,21,21,7,49,0.42857142857142855,0.42857142857142855,0.42857142857142855
1aekk5ovlYo,1,2,0,3,0.3333333333333333,0.3333333333333333,0.6666666666666666
1cvcNtG8Br0,15,28,1,44,0.3409090909090909,0.3409090909090909,0.6363636363636364
1g8UjBRpdXc,2,12,1,15,0.13333333333333333,0.13333333333333333,0.8
1ih4eLXIiWg,2,1,0,3,0.6666666666666666,0.6666666666666666,0.3333333333333333
1j3dH1j-B_M,8,14,1,23,0.34782608695652173,0.34782608695652173,0.6086956521739131
1jal5PasxBc,6,19,1,26,0.23076923076923078,0.23076923076923078,0.7307692307692307
1oEUtL41oDk,5,12,1,18,0.2777777777777778,0.2777777777777778,0.6666666666666666
1otneFRlPUA,4,10,0,14,0.2857142857142857,0.2857142857142857,0.7142857142857143
1pF4miBMHss,13,28,2,43,0.3023255813953488,0.3023255813953488,0.6511627906976745
