videoId,긍정,부정,중립,댓글수,긍정비율,중립비율,부정비율
-XZdWrLbgt4,6,21,2,29,0.20689655172413793,0.20689655172413793,0.7241379310344828
-Xkpajfys68,12,52,2,66,0.18181818181818182,0.18181818181818182,0.7878787878787878
-Z-yIBf5ttA,44,86,11,141,0.3120567375886525,0.3120567375886525,0.6099290780141844
-_FipOlfNgE,41,182,14,237,0.1729957805907173,0.1729957805907173,0.7679324894514767
-_rSpS95ZO0,0,13,0,13,0,0,1
-a13rKvEAJI,88,154,37,279,0.3154121863799283,0.3154121863799283,0.5519713261648745
-b_A86wO4Wo,16,7,4,27,0.5925925925925926,0.5925925925925926,0.25925925925925924
-bbyejJSwTk,37,62,1,100,0.37,0.37,0.62
-cWv4a9DSq4,10,19,0,29,0.3448275862068966,0.3448275862068966,0.6551724137931034
-f3UWWlxs2Q,873,157,59,1089,0.8016528925619835,0.8016528925619835,0.14416896235078053
-hpai5mcny8,8,4,2,14,0.5714285714285714,0.5714285714285714,0.2857142857142857
-img2_AdicM,6,6,2,14,0.42857142857142855,0.42857142857142855,0.42857142857142855
-io9xxqE9eY,0,1,2,3,0,0,0.3333333333333333
-lYtujRLj0w,12,10,1,23,0.5217391304347826,0.5217391304347826,0.43478260869565216
-mbuE3a91q8,4,19,3,26,0.15384615384615385,0.15384615384615385,0.7307692307692307
-p1Logq62Pc,19,38,7,64,0.296875,0.296875,0.59375
-qL7pP398mE,465,350,69,884,0.5260180995475113,0.5260180995475113,0.39592760180995473
-qNUhgsYGf0,90,67,21,178,0.5056179775280899,0.5056179775280899,0.37640449438202245
-tWbm5WBGoA,30,106,27,163,0.18404907975460122,0.18404907975460122,0.6503067484662577
-vGPI2AAqHY,14,6,1,21,0.6666666666666666,0.6666666666666666,0.2857142857142857
-vKlsCbG5mE,7,5,1,13,0.5384615384615384,0.5384615384615384,0.38461538461538464
-vUdz020HOs,18,18,4,40,0.45,0.45,0.45
-vaqX58BmIc,10,10,1,21,0.47619047619047616,0.47619047619047616,0.47619047619047616
-wX-WN8lYo8,10,13,1,24,0.4166666666666667,0.4166666666666667,0.5416666666666666
-yjpJI3-gLw,10,28,2,40,0.25,0.25,0.7
-ywXxdoRT-s,98,90,13,201,0.48756218905472637,0.48756218905472637,0.44776119402985076
-yxziUIPZkI,12,10,2,24,0.5,0.5,0.4166666666666667
-zHaWR61rBc,6,11,0,17,0.35294117647058826,0.35294117647058826,0.6470588235294118
0-a0C2e9gYs,6,10,2,18,0.3333333333333333,0.3333333333333333,0.5555555555555556
0-sjs5uZlt4,6,19,2,27,0.2222222222222222,0.2222222222222222,0.7037037037037037
003QbcTnnTc,13,16,5,34,0.38235294117647056,0.38235294117647056,0.47058823529411764
00uJ1dor2L4,2,13,2,17,0.11764705882352941,0.11764705882352941,0.7647058823529411
01CYSjRrP_Y,15,35,3,53,0.2830188679245283,0.2830188679245283,0.660377358490566
01m3P4-uJL4,22,12,0,34,0.6470588235294118,0.6470588235294118,0.35294117647058826
03IQhHGmZXo,153,93,13,259,0.5907335907335908,0.5907335907335908,0.3590733590733591
03c_G5LDNGc,5,8,0,13,0.38461538461538464,0.38461538461538464,0.6153846153846154
04nyQB8jCN0,43,183,4,230,0.18695652173913044,0.18695652173913044,0.7956521739130434
06vM6aqf474,11,16,1,28,0.39285714285714285,0.39285714285714285,0.5714285714285714
08WgpOne6-A,31,70,5,106,0.29245283018867924,0.29245283018867924,0.660377358490566
0BwtT8JPVu4,5,24,4,33,0.15151515151515152,0.15151515151515152,0.7272727272727273
0DaWbspl4ws,5,9,1,15,0.3333333333333333,0.3333333333333333,0.6
0EHCZSNpiMk,2,4,0,6,0.3333333333333333,0.3333333333333333,0.6666666666666666
0ES5vGXkNRc,6,8,0,14,0.42857142857142855,0.42857142857142855,0.5714285714285714
0EmAtPxtGlc,3,2,0,5,0.6,0.6,0.4
0GH4e2mWb2U,44,45,5,94,0.46808510638297873,0.46808510638297873,0.4787234042553192
0IVo0DaykZs,2,6,0,8,0.25,0.25,0.75
0IbIknsVwUs,4,3,0,7,0.5714285714285714,0.5714285714285714,0.42857142857142855
